Termino,Definicion_Corta,Definicion_Larga
NPS,Net Promoter Score: índice de lealtad y satisfacción (-100 a 100).,"El Net Promoter Score mide la disposición de los encuestados a recomendar una institución. Se calcula restando el porcentaje de Detractores (0-6) al de Promotores (9-10). Los Pasivos (7-8) no se computan. Oscila entre -100 y +100."
Cohorte,Grupo de alumnos que ingresaron en el mismo periodo.,"En educación superior, un cohorte es el conjunto de estudiantes que inician un programa en el mismo ciclo de ingreso. Permite calcular indicadores longitudinales como eficiencia terminal y tasa de titulación con mayor precisión que mediciones transversales."
KPI,Key Performance Indicator: indicador clave de desempeño.,"Un KPI es una medida cuantificable que evalúa el éxito de una organización en alcanzar sus objetivos. Un buen KPI es específico, medible, alcanzable, relevante y acotado en tiempo (criterio SMART)."
PRODEP,Programa para el Desarrollo Profesional Docente de la SEP.,"Programa de la SEP que busca mejorar la calidad de la educación superior reconociendo a profesores con perfil deseable: posgrado de calidad, producción académica y participación en cuerpos académicos."
Perfil Deseable,Reconocimiento SEP-PRODEP al docente con posgrado y producción académica.,"Distinción otorgada por la SEP a profesores de tiempo completo con posgrado adecuado a su área, participación en cuerpo académico activo y producción académica reciente. Impacta en financiamiento y acreditación institucional."
Indicador Operativo,Mide eficiencia de procesos internos del día a día.,"Mide el desempeño de procesos en el corto plazo. Su seguimiento es frecuente (mensual o cuatrimestral) y está orientado a decisiones tácticas de mandos medios y directivos de área."
Indicador de Consejo,KPI de reporte a órganos de gobierno institucional.,"Indicador que se presenta ante el Consejo Directivo o instancias de supervisión externa. Periodicidad mayor (semestral o anual). Su incumplimiento puede detonar planes de mejora formales o comprometer acreditaciones."
Bono de Productividad,Compensación variable ligada al cumplimiento de KPIs.,"Componente variable de la compensación que se activa cuando el colaborador o área alcanza las metas definidas para los KPIs con esta bandera habilitada. El porcentaje y condiciones se establecen en la política de compensación vigente."
Matrícula,Total de alumnos inscritos y activos en un periodo.,"Número total de estudiantes formalmente inscritos en uno o más programas durante un periodo lectivo. Es el denominador base de la mayoría de los indicadores académicos y financieros de la institución."
Tasa de Deserción,Porcentaje de alumnos que abandonan el programa sin concluirlo.,"Mide la proporción de estudiantes que interrumpen sus estudios antes de completar el programa. Es el complemento de la tasa de retención. Se distingue entre deserción total (abandona la institución) y parcial (cambia de programa)."
